@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 130\nSize of the tree: 143\n','Number of leaves: 109\nSize of the tree: 124\n','Number of leaves: 61\nSize of the tree: 74\n','Number of leaves: 58\nSize of the tree: 68\n','Number of leaves: 81\nSize of the tree: 91\n','Number of leaves: 82\nSize of the tree: 93\n','Number of leaves: 83\nSize of the tree: 95\n','Number of leaves: 107\nSize of the tree: 120\n','Number of leaves: 84\nSize of the tree: 97\n','Number of leaves: 106\nSize of the tree: 118\n','Number of leaves: 36\nSize of the tree: 47\n','Number of leaves: 59\nSize of the tree: 70\n','Number of leaves: 60\nSize of the tree: 72\n','Number of leaves: 110\nSize of the tree: 126\n','Number of leaves: 80\nSize of the tree: 89\n','Number of leaves: 35\nSize of the tree: 45\n','Number of leaves: 57\nSize of the tree: 66\n','Number of leaves: 132\nSize of the tree: 147\n','Number of leaves: 85\nSize of the tree: 99\n','Number of leaves: 87\nSize of the tree: 103\n','Number of leaves: 111\nSize of the tree: 128\n','Number of leaves: 79\nSize of the tree: 87\n','Number of leaves: 103\nSize of the tree: 112\n','Number of leaves: 112\nSize of the tree: 130\n','Number of leaves: 86\nSize of the tree: 101\n','Number of leaves: 88\nSize of the tree: 105\n','Number of leaves: 131\nSize of the tree: 145\n','Number of leaves: 33\nSize of the tree: 41\n','Number of leaves: 63\nSize of the tree: 78\n','Number of leaves: 62\nSize of the tree: 76\n','Number of leaves: 37\nSize of the tree: 49\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

DATASET_TA,1,10,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20171205.2204,136,15,9,6,0,60,40,0,0.4,0.27045,0.492586,60.851277,104.474323,23.782228,38.921524,-15.139296,1.585482,2.594768,-1.009286,10.654666,0.710311,672.455602,0.8,4,0.3,3,0.7,7,0.2,1,0.571429,0.8,0.666667,0.472456,0.81,0.610256,0.6,0.2,0.8,0.4,0.612698,0.6,0.588889,0.40867,0.71,0.527741,0.588889,0.6,0,0,0,0,0,0,14746,13097,3780,66.666667,37.777778,?,?,?,?
DATASET_TA,2,1,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20171205.2204,135,16,11,5,0,68.75,31.25,0,0.526627,0.219588,0.43817,49.440838,93.00587,25.331783,31.214064,-5.882281,1.583236,1.950879,-0.367643,13.913234,0.869577,877.953234,0.8,4,0.090909,1,0.909091,10,0.2,1,0.8,0.8,0.8,0.709091,0.890909,0.831429,0.6875,0.160227,0.839773,0.3125,0.674107,0.6875,0.67735,0.526351,0.819318,0.683929,0.671225,0.6875,0,0,0,0,0,0,14669,13020,3857,75,37.5,?,?,?,?
DATASET_TA,2,2,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20171205.2204,136,15,12,3,0,80,20,0,0.695946,0.139994,0.334941,31.521436,71.100965,23.744525,17.627428,6.117098,1.582968,1.175162,0.407807,17.020106,1.134674,1073.899612,0.5,2,0.090909,1,0.909091,10,0.5,2,0.666667,0.5,0.571429,0.452267,0.727273,0.592262,0.8,0.090909,0.909091,0.2,0.815873,0.8,0.793795,0.718991,0.868013,0.799817,0.771284,0.8,0,0,0,0,0,0,14754,13097,3780,86.666667,37.777778,?,?,?,?
DATASET_TA,2,3,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20171205.2204,136,15,11,4,0,73.333333,26.666667,0,0.6,0.183005,0.393949,41.176195,83.554131,23.782228,23.730735,0.051494,1.585482,1.582049,0.003433,14.974155,0.998277,945.074664,1,5,0.4,4,0.6,6,0,0,0.555556,1,0.714286,0.57735,0.88,0.7,0.733333,0.133333,0.866667,0.266667,0.851852,0.733333,0.738095,0.663855,0.87,0.761758,0.738095,0.733333,0,0,0,0,0,0,14746,13097,3780,80,37.777778,?,?,?,?
DATASET_TA,2,4,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20171205.2204,136,15,9,6,0,60,40,0,0.4,0.27119,0.503307,61.017657,106.748289,23.782228,47.418921,-23.636693,1.585482,3.161261,-1.57578,10.626988,0.708466,670.708758,0.8,4,0.2,2,0.8,8,0.2,1,0.666667,0.8,0.727273,0.57735,0.73,0.706667,0.6,0.2,0.8,0.4,0.605556,0.6,0.59798,0.403451,0.596667,0.539988,0.59798,0.6,0,0.001,0,0,0,0,14746,13097,3780,60,35.555556,?,?,?,?
DATASET_TA,2,5,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20171205.2204,136,15,12,3,0,80,20,0,0.7,0.176418,0.371693,39.694091,78.833806,23.782228,26.289513,-2.507285,1.585482,1.752634,-0.167152,15.453328,1.030222,975.317031,0.8,4,0.1,1,0.9,9,0.2,1,0.8,0.8,0.8,0.7,0.79,0.826667,0.8,0.1,0.9,0.2,0.794444,0.8,0.791919,0.699676,0.78,0.735714,0.791919,0.8,0,0,0,0,0,0,14746,13097,3780,80,40,?,?,?,?
DATASET_TA,2,6,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20171205.2204,136,15,8,7,0,53.333333,46.666667,0,0.3,0.314597,0.544289,70.784333,115.440271,23.782228,56.483031,-32.700802,1.585482,3.765535,-2.180053,8.469475,0.564632,534.540083,0.6,3,0.2,2,0.8,8,0.4,2,0.6,0.6,0.6,0.4,0.65,0.592857,0.533333,0.233333,0.766667,0.466667,0.533333,0.533333,0.529966,0.300625,0.54,0.449806,0.529966,0.533333,0,0.001,0,0,0,0,14746,13097,3780,53.333333,35.555556,?,?,?,?
DATASET_TA,2,7,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20171205.2204,136,15,10,5,0,66.666667,33.333333,0,0.5,0.227018,0.466401,51.079137,98.920602,23.782228,35.803795,-12.021567,1.585482,2.38692,-0.801438,12.746893,0.849793,804.503876,0.6,3,0,0,1,10,0.4,2,1,0.6,0.75,0.707107,0.8,0.733333,0.666667,0.166667,0.833333,0.333333,0.72381,0.666667,0.672222,0.526521,0.75,0.583492,0.672222,0.666667,0,0.001,0,0,0,0,14746,13097,3780,66.666667,33.333333,?,?,?,?
DATASET_TA,2,8,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20171205.2204,136,15,10,5,0,66.666667,33.333333,0,0.5,0.227335,0.467406,51.150294,99.13376,23.782228,37.772489,-13.99026,1.585482,2.518166,-0.932684,12.796644,0.85311,807.643845,0.6,3,0.2,2,0.8,8,0.4,2,0.6,0.6,0.6,0.4,0.59,0.48381,0.666667,0.166667,0.833333,0.333333,0.644444,0.666667,0.651178,0.493075,0.68,0.566032,0.651178,0.666667,0,0,0,0,0,0,14746,13097,3780,66.666667,33.333333,?,?,?,?
DATASET_TA,2,9,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20171205.2204,136,15,10,5,0,66.666667,33.333333,0,0.5,0.205513,0.431379,46.240419,91.49265,23.782228,31.658803,-7.876575,1.585482,2.110587,-0.525105,13.912339,0.927489,878.059515,0.8,4,0.3,3,0.7,7,0.2,1,0.571429,0.8,0.666667,0.472456,0.65,0.52381,0.666667,0.166667,0.833333,0.333333,0.72381,0.666667,0.672222,0.526521,0.726667,0.661111,0.672222,0.666667,0,0.001,0,0,0,0,14746,13097,3780,73.333333,35.555556,?,?,?,?
